,open,close,high,low,volume,time,HA_Close,HA_Open,HA_High,HA_Low
243,29196.7,29179.6,29249.1,29126.3,4555.66,2023-08-08 00:00:00,29187.925000000003,29136.698945284923,29249.1,29126.3
244,29179.6,29175.8,29313.3,29168.3,7172.23,2023-08-08 04:00:00,29209.25,29172.97447264246,29313.3,29168.3
245,29176.0,29427.0,29434.8,29164.0,11300.8,2023-08-08 08:00:00,29300.45,29236.712236321233,29434.8,29164.0
246,29427.0,29526.4,29664.5,29343.0,30136.0,2023-08-08 12:00:00,29490.225,29363.468618160616,29664.5,29343.0
247,29526.3,29873.9,29956.1,29524.9,28008.12,2023-08-08 16:00:00,29720.299999999996,29541.884309080306,29956.1,29524.9
248,29873.9,29766.6,30227.6,29693.3,20645.16,2023-08-08 20:00:00,29890.35,29716.117154540152,30227.6,29693.3
249,29766.6,29715.0,29879.2,29644.1,8968.08,2023-08-09 00:00:00,29751.225,29733.671077270075,29879.2,29644.1
250,29715.0,29814.8,29815.5,29669.4,6342.38,2023-08-09 04:00:00,29753.675,29743.67303863504,29815.5,29669.4
251,29814.8,29883.7,29909.1,29733.5,7978.25,2023-08-09 08:00:00,29835.274999999998,29789.474019317517,29909.1,29733.5
252,29883.7,29754.5,30134.6,29664.8,23038.67,2023-08-09 12:00:00,29859.4,29824.43700965876,30134.6,29664.8
253,29754.5,29405.4,29769.9,29380.4,19869.85,2023-08-09 16:00:00,29577.550000000003,29700.99350482938,29769.9,29380.4
254,29405.4,29570.2,29617.5,29366.0,7123.99,2023-08-09 20:00:00,29489.774999999998,29595.38425241469,29617.5,29366.0
255,29570.2,29570.7,29650.6,29549.3,5642.0,2023-08-10 00:00:00,29585.2,29590.292126207343,29650.6,29549.3
256,29570.7,29505.9,29610.3,29481.7,4966.63,2023-08-10 04:00:00,29542.15,29566.221063103672,29610.3,29481.7
257,29506.0,29492.8,29550.8,29463.6,4645.69,2023-08-10 08:00:00,29503.3,29534.760531551838,29550.8,29463.6
258,29492.8,29454.5,29727.5,29388.4,23365.65,2023-08-10 12:00:00,29515.800000000003,29525.28026577592,29727.5,29388.4
259,29454.5,29433.4,29468.8,29323.4,8104.29,2023-08-10 16:00:00,29420.025,29472.652632887963,29472.652632887963,29323.4
260,29433.4,29443.5,29478.6,29410.2,2407.19,2023-08-10 20:00:00,29441.425,29457.03881644398,29478.6,29410.2
261,29443.6,29399.5,29490.7,29337.7,4090.07,2023-08-11 00:00:00,29417.875,29437.45690822199,29490.7,29337.7
262,29399.5,29404.3,29471.0,29370.0,3706.3,2023-08-11 04:00:00,29411.2,29424.328454110997,29471.0,29370.0
263,29404.4,29429.8,29437.2,29340.0,3974.06,2023-08-11 08:00:00,29402.850000000002,29413.589227055498,29437.2,29340.0
264,29429.8,29382.6,29556.4,29340.1,13098.15,2023-08-11 12:00:00,29427.225,29420.407113527748,29556.4,29340.1
265,29381.5,29385.2,29415.8,29240.0,8101.19,2023-08-11 16:00:00,29355.625,29388.016056763874,29415.8,29240.0
266,29385.2,29416.4,29434.5,29384.4,2008.82,2023-08-11 20:00:00,29405.125,29396.570528381937,29434.5,29384.4
